outcome,score,teams
,,Los Angeles
,,Denver
,,Sacramento
,,Phoenix
,,Miami
,,Charlotte
,,Detroit
,,Miami
,,Orlando
,,New Orleans
,,Sacramento
,,Cleveland
,,Sacramento
,,San Antonio
,,Phoenix
,,New York
,,Houston
,,New Orleans
,,LA
,,Utah
,,Minnesota
,,Dallas
,,Chicago
,,Houston
,,Indiana
,,Utah
,,Boston
,,Milwaukee
,,Indiana
,,Philadelphia
,,Toronto
,,New York
,,Brooklyn
,,Memphis
,,Charlotte
,,Utah
,,Portland
,,Atlanta
,,Detroit
,,Orlando
,,Phoenix
,,San Antonio
,,Chicago
,,Washington
,,Boston
,,Cleveland
,,Brooklyn
,,Memphis
,,Toronto
,,Oklahoma City
,,Minnesota
,,Denver
,,Dallas
,,Oklahoma City
,,Portland
,,Los Angeles
,,Washington
,,LA
,,Los Angeles
,,Houston
,,Minnesota
,,Portland
,,LA
,,New Orleans
,,Los Angeles
,,Oklahoma City
,,Memphis
,,Milwaukee
,,Phoenix
,,LA
,,Atlanta
,,Memphis
,,Houston
,,Dallas
,,Philadelphia
,,Minnesota
,,New Orleans
,,San Antonio
,,Denver
,,Oklahoma City
,,Sacramento
,,Portland
